Challenge Name,Category,Solved/Attempted by,Solve time
defcamp-quals23-forty-nine,['web'],z_pacifist,2023-10-20 18:01:13.682000
defcamp-quals23-morse-music,['crypto'],"hisoka.fr, z_pacifist, ___apn___, Sans, gh0stkn1ght, sh.4rk, aparna_11, victim1307",Nil
defcamp-quals23-agoodone,['reverse'],"sherlockcheezu, the_mechanic__",2023-10-20 17:37:33.751000
defcamp-quals23-red-handed,['forensics'],"sh.4rk, gh0stkn1ght, azr43lkn1ght, sp3p3x, hridhya, jl911",Nil
defcamp-quals23-log-forensics,['forensics'],"gh0stkn1ght, hridhya, sh.4rk",2023-10-20 19:32:32.833000
defcamp-quals23-rody-infest,['forensics'],"sh.4rk, gh0stkn1ght, azr43lkn1ght, sp3p3x, hridhya, jl911, victim1307",Nil
defcamp-quals23-internet-is-dangerous,['forensics'],"Sans, gh0stkn1ght",2023-10-21 06:28:09.773000
defcamp-quals23-combined,['reverse'],"the_mechanic__, sherlockcheezu",2023-10-20 18:00:48.213000
defcamp-quals23-code-transpiler,['web'],"z_pacifist, luc_f3r, winters.ggs",2023-10-20 19:57:13.079000
defcamp-quals23-xmisp,['reverse'],"sherlockcheezu, the_mechanic__",2023-10-20 18:09:16.174000
defcamp-quals23-papp,['reverse'],"drunknb0tch, the_mechanic__",2023-10-21 01:10:36.096000
defcamp-quals23-boze,['web'],"z_pacifist, winters.ggs, luc_f3r, ma1f0y_, az3z3l, alfin",Nil
defcamp-quals23-system-leak,['pwn'],"_r0r1_, ath3n1x, justk1r4",Nil
defcamp-quals23-4aes,['crypto'],hisoka.fr,2023-10-20 18:47:31.976000
defcamp-quals23-circles,['crypto'],"the_mechanic__, Sans, ___apn___, sherlockcheezu",2023-10-21 04:05:27.119000
defcamp-quals23-illegal,['crypto'],"___apn___, hisoka.fr, Sans, aparna_11",Nil
defcamp-quals23-bistro,['pwn'],_r0r1_,2023-10-20 19:25:11.163000
defcamp-quals23-bistro2,['pwn'],_r0r1_,2023-10-20 20:19:43.950000
defcamp-quals23-soc-is-mandatory,['misc'],"z_pacifist, sh.4rk, gh0stkn1ght, azr43lkn1ght, jl911, hridhya, .d_pro, drunknb0tch, luc_f3r",Nil
defcamp-quals23-baby-bof,['pwn'],"ath3n1x, justk1r4",Nil
defcamp-quals23-defcamp6,['osint'],"Sans, gh0stkn1ght, ___apn___, .d_pro, jl911",Nil
defcamp-quals23-book,['pwn'],"justk1r4, _r0r1_, ath3n1x",Nil
