Challenge Name,Category,Solved/Attempted by,Solve time
cybersecurityrumble_quals24-conspiracy_social,['web'],"k0w4lzk1, h3ri0s, alfin3313, avntka, 570rmbreaker, lu513n, ma1f0y_, winters0x168, exigent07, l0x.me, luc_f3r",Nil
cybersecurityrumble_quals24-lightson,['reverse'],"retr0ds, tricky_ninja, amunrha, kndn, br34dcrumb, the.m3chanic",Nil
cybersecurityrumble_quals24-heaping_blind_easy,['pwn'],"_r0r1_, tourpran",2024-05-12 16:47:22.459000
cybersecurityrumble_quals24-polypwn,['pwn'],"silence_, theb4tmite, justk1r4, heartstoller, _r0r1_, spektr.e, tourpran",Nil
cybersecurityrumble_quals24-soft-pillow,['misc'],"theb4tmite, silence_, heartstoller, spektr.e, _r0r1_, tourpran, sp3p3x, justk1r4, gh0stkn1ght",Nil
cybersecurityrumble_quals24-wheresthebox,['reverse'],"sherlockcheezu, tricky_ninja, kndn, retr0ds, amunrha, br34dcrumb, the.m3chanic",Nil
cybersecurityrumble_quals24-bigger_is_better,['crypto'],hisoka.fr,2024-05-12 14:21:44.291000
cybersecurityrumble_quals24-bat_cage,['misc'],justk1r4,2024-05-12 15:56:11.937000
cybersecurityrumble_quals24-guessmytoken,['misc'],"silence_, k0w4lzk1, exigent07, h3ri0s, 570rmbreaker",2024-05-12 01:52:30.193000
cybersecurityrumble_quals24-flag_finder,['misc'],"k0w4lzk1, 570rmbreaker, exigent07, h3ri0s",2024-05-12 14:05:16.774000
cybersecurityrumble_quals24-pythonsite,['web'],"alfin3313, ma1f0y_, winters0x168, k0w4lzk1, exigent07, 570rmbreaker",Nil
cybersecurityrumble_quals24-unpickler,['misc'],"silence_, gh0stkn1ght, justk1r4, heartstoller, ma1f0y_, alfin3313",Nil
cybersecurityrumble_quals24-washingextravaganza,['web'],"ma1f0y_, alfin3313",2024-05-12 16:52:23.130000
cybersecurityrumble_quals24-hsm,['crypto'],"hisoka.fr, ___apn___, sans8475, ls.exe, arch_zero, aerosol.",Nil
cybersecurityrumble_quals24-heaping-blind-0,['pwn'],"_r0r1_, justk1r4",2024-05-12 16:40:45.046000
cybersecurityrumble_quals24-heaping-blind-2,['pwn'],"_r0r1_, justk1r4, silence_",Nil
