Challenge Name,Category,Solved/Attempted by,Solve time
isitdtuquals24-unexpected,['forensics'],"gh0stkn1ght, 5h4rrk, kr4z31n, jl_24, __m1m1__, hrippi.x_, azr43lkn1ght, sp3p3x",2024-10-27 13:49:50.521000
isitdtuquals24-corrupted_hard_drive,['forensics'],"hrippi.x_, azr43lkn1ght, __m1m1__, 5h4rrk, jl_24, gh0stkn1ght, kr4z31n",2024-10-26 14:30:53.992000
isitdtuquals24-seccomp1,['pwn'],silence_,2024-10-26 15:24:25.203000
isitdtuquals24-xecec,['web'],"exigent07, z_pacifist, alfin3313, h3ri0s, k0w4lzk1",2024-10-26 12:52:19.018000
isitdtuquals24-another_one,['web'],"h3ri0s, k0w4lzk1",2024-10-26 12:30:58.469000
isitdtuquals24-seccomp2,['pwn'],"theb4tmite, silence_, heartstoller",2024-10-26 19:13:02.760000
isitdtuquals24-sharemixer1,['crypto'],"ls.exe, hisoka.fr",2024-10-26 16:16:50.569000
isitdtuquals24-niceray,['web'],"z_pacifist, winters0x168, alfin3313, exigent07, k0w4lzk1",2024-10-27 13:52:41.321000
isitdtuquals24-re01,['reverse'],"k1n0r4, retr0ds, theb4tmite, heartstoller, silence_, 5h3nron",Nil
isitdtuquals24-two-steps-ahead,['osint'],"silence_, heartstoller, theb4tmite, __m1m1__, arch_zero, kr4z31n, k0w4lzk1, z_pacifist, alfin3313, luc_f3r, 5h4rrk",Nil
isitdtuquals24-sparks,['osint'],"silence_, heartstoller, arch_zero",2024-10-26 17:32:07.807000
isitdtuquals24-thats-so-random,['crypto'],"ls.exe, hisoka.fr, ___apn___, arch_zero, sans8475",Nil
isitdtuquals24-simple_server,['web'],"alfin3313, z_pacifist, winters0x168",2024-10-26 22:15:22.878000
isitdtuquals24-game-of-luck,['pwn'],"silence_, theb4tmite, justk1r4",2024-10-26 23:04:30.174000
isitdtuquals24-swatted,['forensics'],"kr4z31n, __m1m1__, 5h4rrk, hrippi.x_, sp3p3x, gh0stkn1ght, azr43lkn1ght, jl_24",Nil
isitdtuquals24-no-name,['pwn'],"heartstoller, justk1r4, _r0r1_, silence_, theb4tmite",Nil
isitdtuquals24-re02,['reverse'],sherlockcheezu,2024-10-27 05:53:31.299000
isitdtuquals24-animal,['reverse'],sherlockcheezu,Nil
isitdtuquals24-cpusage,['forensics'],"kr4z31n, __m1m1__, 5h4rrk, hrippi.x_, gh0stkn1ght",2024-10-27 12:45:33.038000
isitdtuquals24-hihi,['web'],"k0w4lzk1, z_pacifist, winters0x168, luc_f3r",Nil
isitdtuquals24-home_sweet_home,['osint'],"__m1m1__, kr4z31n, heartstoller, silence_, theb4tmite, arch_zero, k0w4lzk1, z_pacifist, h3ri0s",Nil
isitdtuquals24-sign,['crypto'],"___apn___, hisoka.fr, sans8475",Nil
