Challenge Name,Category,Solved/Attempted by,Solve time
ugractf24-ggwp,['forensics'],"sp3p3x, ls.exe, Sans, aerosol., silence_, gh0stkn1ght, jl_24",2024-02-12 00:24:19.560000
ugractf24-decode_it,['pwn'],"tourpran, _r0r1_",2024-02-10 13:59:50.221000
ugractf24-language_barrier,['web'],"r0h1t.pxh, z_pacifist, k0w4lsk1_, winters0x168, luc_f3r",2024-02-11 20:00:19.929000
ugractf24-a_messenger,['crypto'],"ls.exe, aerosol., ___apn___",2024-02-10 13:10:43.335000
ugractf24-easy,['misc'],"the.m3chanic, luc_f3r, amunrha, sherlockcheezu, tricky_ninja, silence_, ls.exe, aerosol.",2024-02-10 18:22:57.316000
ugractf24-file_system,['pwn'],"spektr.e, justk1r4, silence_, tourpran, _r0r1_, br34dcrumb, heartstoller, b4tmite",Nil
ugractf24-pedershen,['crypto'],"ls.exe, Sans, ___apn___",2024-02-11 13:25:09.876000
ugractf24-eat_the_rich,['crypto'],"Sans, ___apn___",2024-02-10 19:47:29.665000
ugractf24-one_two_grab,['misc'],"the.m3chanic, sherlockcheezu, winters0x168, _r0r1_, luc_f3r",2024-02-11 01:17:17.814000
ugractf24-wicket_gate,['web'],"r0h1t.pxh, k0w4lsk1_, exigent07",2024-02-10 14:13:29.868000
ugractf24-google_dyslexia,['misc'],"aerosol., ls.exe, silence_",2024-02-10 13:22:58.276000
ugractf24-golden_gate,['misc'],tr4c3734,2024-02-11 04:00:17.780000
ugractf24-in_the_dark,['misc'],"arch_zero, silence_, heartstoller, tricky_ninja, r0h17h, justk1r4",Nil
ugractf24-right_off_the_vine,['forensics'],"the.m3chanic, sherlockcheezu, jl_24, amunrha",2024-02-12 00:29:57.073000
ugractf24-if,['misc'],"silence_, arch_zero",2024-02-11 16:13:16.301000
ugractf24-uneasy,['misc'],"the.m3chanic, amunrha, tricky_ninja, sherlockcheezu",2024-02-10 19:02:04.057000
ugractf24-incomming_letter,['misc'],"Sans, gh0stkn1ght, silence_, ls.exe",2024-02-11 22:51:49.482000
ugractf24-blazingly_fast,['misc'],"tricky_ninja, tr4c3734, heartstoller, r0h17h, spektr.e, silence_, the.m3chanic, ___apn___, gh0stkn1ght, justk1r4, sherlockcheezu, z_pacifist, jatin.exe",Nil
ugractf24-uzh2,['reverse'],"the.m3chanic, amunrha, sherlockcheezu",2024-02-11 06:09:41.951000
ugractf24-uzh,['misc'],"sherlockcheezu, the.m3chanic, amunrha",2024-02-11 06:09:42.379000
ugractf24-atop_this_piece,['misc'],tricky_ninja,2024-02-11 11:46:24.014000
ugractf24-looking_sus,['misc'],"tricky_ninja, heartstoller, silence_, aerosol., b4tmite, j0dh7, gh0stkn1ght, its_me_ask, arch_zero, jl_24, Sans, ___apn___, spektr.e, z_pacifist, amunrha, _mamatha_, justk1r4, sp3p3x, k0w4lsk1_, r0h1t.pxh, tr4c3734",Nil
ugractf24-tree_forest,['misc'],"ls.exe, Sans, the.m3chanic, sherlockcheezu, amunrha, ___apn___",2024-02-11 21:25:24.298000
ugractf24-smart_alarm,['web'],"winters0x168, lu513n, luc_f3r, z_pacifist, ma1f0y_, r0h17h, r0h1t.pxh, spektr.e",Nil
