Challenge Name,Category,Solved/Attempted by,Solve time
vishwactf24-whoami,['misc'],"silence_, b4tmite, heartstoller",2024-03-01 17:45:11.214000
vishwactf24-the_end_is_beginning,['misc'],"silence_, b4tmite, heartstoller, tricky_ninja",2024-03-01 18:39:55.578000
vishwactf24-cyber_pursuit_manhunt,['osint'],"b4tmite, silence_, heartstoller, tricky_ninja, __m1m1__, exigent07, gh0stkn1ght, its_me_ask, k0w4lsk1_, r0h1t.pxh, im._.a.p, j0dh7, arch_zero, ls.exe, aerosol., z_pacifist",Nil
vishwactf24-wearevalorant,['forensics'],"j0dh7, silence_, __m1m1__, its_me_ask, heartstoller, arch_zero, tricky_ninja, exigent07, gh0stkn1ght, sp3p3x, jl_24, ls.exe",Nil
vishwactf24-codeon,['crypto'],"arch_zero, aerosol., silence_, heartstoller, tricky_ninja, exigent07, sans8475, ls.exe, im._.a.p",Nil
vishwactf24-poly_fun,['crypto'],"hisoka.fr, sans8475",2024-03-01 21:27:46.333000
vishwactf24-faulty_network,['reverse'],"tricky_ninja, r3d_t3mp3st",2024-03-02 18:15:31.079000
vishwactf24-save_the_city,['web'],"r0h1t.pxh, k0w4lsk1_, exigent07",2024-03-01 19:03:36.151000
vishwactf24-try_hack_me,['misc'],"silence_, tricky_ninja, 570rmbreaker, arch_zero, heartstoller",2024-03-01 19:36:04.678000
vishwactf24-into_the_dark,['forensics'],"silence_, __m1m1__, its_me_ask, tricky_ninja, b4tmite, j0dh7, gh0stkn1ght",2024-03-03 15:52:51.083000
vishwactf24-recipe_archival_workshop,['web'],"r3d_t3mp3st, 570rmbreaker, k0w4lsk1_, winters0x168, r0h1t.pxh, exigent07, alfin, avntka, z_pacifist, lu513n, silence_, luc_f3r, l0x.me",Nil
vishwactf24-happy_valentines_day,['crypto'],"silence_, b4tmite",2024-03-02 11:20:40.355000
vishwactf24-ifconfig_inet,['osint'],heartstoller,2024-03-02 11:22:54.411000
vishwactf24-trip_to_us,['web'],"k0w4lsk1_, exigent07, r0h1t.pxh",2024-03-02 11:25:45.427000
vishwactf24-intellectual_heir,['crypto'],aerosol.,2024-03-02 14:59:55.482000
vishwactf24-lets-smother-the-king,['crypto'],"aerosol., arch_zero",2024-03-02 15:30:34.401000
vishwactf24-h34d3rs,['web'],"r0h1t.pxh, k0w4lsk1_, exigent07",2024-03-02 13:12:35.569000
vishwactf24-router,['forensics'],"its_me_ask, j0dh7, __m1m1__",2024-03-02 17:14:37.453000
vishwactf24-mysterious_old_case,['forensics'],"__m1m1__, j0dh7, gh0stkn1ght, its_me_ask, silence_",Nil
vishwactf24-medicare,['web'],"exigent07, k0w4lsk1_, r0h1t.pxh",2024-03-02 15:11:17.521000
vishwactf24-they_are_coming,['web'],"k0w4lsk1_, r0h1t.pxh, exigent07, ls.exe, aerosol.",2024-03-02 17:49:36.623000
vishwactf24-secret_code,['forensics'],"j0dh7, its_me_ask, __m1m1__, gh0stkn1ght",2024-03-02 16:37:19.376000
vishwactf24-prompt_injection,['web'],"exigent07, k0w4lsk1_, r0h1t.pxh",2024-03-02 20:59:49.418000
vishwactf24-professor_inheritance,['forensics'],"its_me_ask, j0dh7, __m1m1__, aerosol., gh0stkn1ght, silence_",Nil
vishwactf24-crack_me,['reverse'],"r3d_t3mp3st, tricky_ninja, the.m3chanic, silence_, b4tmite",Nil
vishwactf24-smoke_out_the_rat,['forensics'],"its_me_ask, __m1m1__, j0dh7, gh0stkn1ght, silence_",Nil
vishwactf24-boot_failed,['web'],"k0w4lsk1_, luc_f3r, z_pacifist, r0h1t.pxh, exigent07",2024-03-03 15:47:36.306000
vishwactf24-repo_riddles,['forensics'],"its_me_ask, j0dh7, __m1m1__, silence_",2024-03-03 12:43:54.545000
vishwactf24-sagar_sangram,['osint'],"b4tmite, silence_, heartstoller",2024-03-03 10:52:41.442000
vishwactf24-wired_secrets,['forensics'],"its_me_ask, __m1m1__, j0dh7",2024-03-03 12:10:13.882000
vishwactf24-prankster_twins,['osint'],"b4tmite, silence_, arch_zero, heartstoller, aerosol., its_me_ask, j0dh7, tricky_ninja",Nil
vishwactf24-the_naughty_friend,['crypto'],"arch_zero, aerosol., silence_",Nil
vishwactf24-sandese_aate_hai,['reverse'],"silence_, tricky_ninja, r3d_t3mp3st, b4tmite, aerosol.",2024-03-03 15:10:10.079000
