Challenge Name,Category,Solved/Attempted by,Solve time
csawquals24-bucketwars,['web'],"z_pacifist, winters0x168, alfin3313, luc_f3r, k0w4lzk1, h3ri0s, jarvis",2024-09-06 23:50:45.980000
csawquals24-the_triple_illusion,['forensics'],"azr43lkn1ght, kr4z31n, rudraagh, sans8475, gh0stkn1ght, jl_24",2024-09-06 22:13:44.208000
csawquals24-diving-into-null,['pwn'],"silence_, justk1r4, spektr.e, theb4tmite",2024-09-07 00:49:52.057000
csawquals24-hexhex,['crypto'],"___apn___, ls.exe",2024-09-06 22:37:17.812000
csawquals24-trapdoor,['crypto'],"hisoka.fr, ___apn___, arch_zero, ls.exe, jatin.exe, alfin3313, spektr.e, silence_, theb4tmite, justk1r4",Nil
csawquals24-mini-golfing,['pwn'],"silence_, tourpran, justk1r4, spektr.e, theb4tmite, heartstoller, _r0r1_",2024-09-07 00:51:00.071000
csawquals24-nix-philosophies,['pwn'],"silence_, justk1r4, theb4tmite",2024-09-07 09:02:54.304000
csawquals24-vip-blacklist,['pwn'],"silence_, justk1r4, tourpran, _r0r1_, spektr.e, theb4tmite, heartstoller, jatin.exe, alfin3313, arch_zero",Nil
csawquals24-covert,['forensics'],"jl_24, gh0stkn1ght, 5h4rrk, azr43lkn1ght, kr4z31n, rudraagh",2024-09-06 22:59:59.974000
csawquals24-list-pyramid,['web'],"z_pacifist, luc_f3r, alfin3313, k0w4lzk1",2024-09-07 00:48:26.482000
csawquals24-magic_tricks,['reverse'],"retr0ds, kndn, heartstoller",2024-09-07 13:47:40.177000
csawquals24-zipzipzip,['forensics'],"rudraagh, azr43lkn1ght, kr4z31n, hrippi.x_, gh0stkn1ght, jl_24, 5h4rrk, __m1m1__",2024-09-06 23:09:02.150000
csawquals24-aes_diffusion,['crypto'],"ls.exe, sans8475, ___apn___, hisoka.fr",2024-09-07 00:15:50.216000
csawquals24-diffusion_pop_quiz,['crypto'],hisoka.fr,2024-09-06 22:42:41.634000
csawquals24-rickshaw,['osint'],"jatin.exe, spektr.e",2024-09-06 23:14:20.564000
csawquals24-planespotting,['osint'],"__m1m1__, kr4z31n, rudraagh, hrippi.x_, heartstoller, spektr.e, gh0stkn1ght, ___apn___, silence_, jatin.exe, theb4tmite, alfin3313, justk1r4, 0kay4nu, arch_zero, z_pacifist, hisoka.fr, k0w4lzk1, h3ri0s",Nil
csawquals24-literally_1984,['osint'],"sans8475, ls.exe, kndn, silence_",2024-09-07 00:17:17.686000
csawquals24-obfuscation,['reverse'],"retr0ds, k1n0r4, sherlockcheezu, the.m3chanic",2024-09-08 21:02:19.417000
csawquals24-raw,['forensics'],"gh0stkn1ght, kr4z31n, azr43lkn1ght, jl_24, sp3p3x, __m1m1__",2024-09-08 21:33:05.581000
csawquals24-authentic_chinese_food,['osint'],"kr4z31n, azr43lkn1ght, rudraagh, gh0stkn1ght, hisoka.fr, spektr.e, silence_",2024-09-07 03:46:11.270000
csawquals24-playing-on-the-backcourts,['web'],alfin3313,2024-09-06 23:30:55.664000
csawquals24-mystery,['osint'],silence_,2024-09-07 00:49:17.326000
csawquals24-charlies-angels,['web'],"z_pacifist, k0w4lzk1, hisoka.fr, ma1f0y_, luc_f3r, alfin3313, h3ri0s",2024-09-07 14:01:46.017000
csawquals24-cbc,['crypto'],"sans8475, jl_24, ls.exe, hisoka.fr",2024-09-07 04:21:15.761000
csawquals24-log-me-in,['web'],h3ri0s,2024-09-07 10:12:20.514000
csawquals24-archeology,['reverse'],retr0ds,2024-09-07 13:47:30.564000
csawquals24-is_there_an_echo,['forensics'],"kr4z31n, heartstoller, __m1m1__, gh0stkn1ght, justk1r4, hrippi.x_, jl_24, lordavis10, arch_zero, silence_, z_pacifist, hisoka.fr, k0w4lzk1, sans8475, rudraagh, sp3p3x, h3ri0s",Nil
